Title,Date/Time,Address,Assigned To
Moen Flo Installation Job,"Mar 11, 2025","Nuevo, CA  
            92567","Mar 11, 2025"
Moen Flo Installation Job,"Mar 11, 2025","Riverside, CA  
            92506","Mar 11, 2025"
Moen Flo Installation Job,"Mar 11, 2025","Corona, CA  
            92881","Mar 11, 2025"
Moen Flo Installation Job,"Mar 11, 2025","Riverside, CA  
            92504","Mar 11, 2025"
Moen Flo Installation Job,"Mar 11, 2025","Menifee, CA  
            92587","Mar 11, 2025"
Moen Flo Installation Job,"Mar 12, 2025","Jurupa Valley, CA  
            92509","Mar 12, 2025"
Moen Flo Installation Job,"Mar 12, 2025","Hemet, CA  
            92544","Mar 12, 2025"
Moen Flo Installation Job,"Mar 12, 2025","Riverside, CA  
            92503","Mar 12, 2025"
Moen Flo Installation Job,"Mar 12, 2025","Temecula, CA  
            92592","Mar 12, 2025"
Moen Flo Installation Job,"Mar 12, 2025","Riverside, CA  
            92506","Mar 12, 2025"
Moen Flo Installation Job,"Mar 12, 2025","Riverside, CA  
            92503","Mar 12, 2025"
Moen Flo Installation Job,"Mar 12, 2025","Corona, CA  
            92882","Mar 12, 2025"
Moen Flo Installation Job,"Mar 13, 2025","La Quinta, CA  
            92253","Mar 13, 2025"
Moen Flo Installation Job,"Mar 13, 2025","Nuevo, CA  
            92567","Mar 13, 2025"
Moen Flo Installation Job,"Mar 14, 2025","Riverside, CA  
            92507","Mar 14, 2025"
Moen Flo Installation Job,"Mar 14, 2025","Moreno Valley, CA  
            92557","Mar 14, 2025"
Moen Flo Installation Job,"Mar 15, 2025","Riverside, CA  
            92507","Mar 15, 2025"
Moen Flo Installation Job,"Mar 17, 2025","Rancho Mirage, CA  
            92270","Mar 17, 2025"
Moen Flo Installation Job,"Mar 20, 2025","Desert Hot Springs, CA  
            92240","Mar 20, 2025"
Moen Flo Installation Job,"Mar 20, 2025","Riverside, CA  
            92506","Mar 20, 2025"
